Producer;Title;Year;Picname;Critic;Critic_S;Score;Rating
Domaine du Cayron;Domaine du Cayron Gigondas Grenache;2018;Domaine du Cayron Gigondas Grenache 2018.jpg;Jeb Dunnuck;JD;92;"Jeb Dunnuck 92 * ""The 2018 Gigondas should slot in behind the 2017 yet should still be a beautiful, outstanding wine. Black currants, cassis, sappy green herbs, bouquet garni, and ground pepper notes all emerge from this medium-bodied, silky, ultra-fine, and polished 2018. It shows the vintages more forward, supple style and should drink nicely right out of the gate."""
Quintessa;Faust by Quintessa Cabernet Sauvignon;2018;Faust by Quintessa Cabernet Sauvignon 2018.jpg;James Suckling;JS;94;James Suckling 94 * Very attractive aromas of blackcurrants, black olives and dark leather with some cedar. Its full-bodied with firm, silky tannins and a refined, polished finish. Shows finesse and focus. Grows on the palate. Really delicious now, but will improve with age. Drink or hold.-JS
Quintessa;Faust by Quintessa Cabernet Sauvignon;2018;Faust by Quintessa Cabernet Sauvignon 2018.jpg;Wilfred Wong;WW;91;Wilfred Wong 91 * COMMENTARY: The 2018 Faust Cabernet Sauvignon deftly combines some of Napa Valley's best AVAs into a wine of excellence. TASTING NOTES: This wine shows beautiful aromas and flavors of red and black fruits along with anise and oak. Enjoy with grilled beef. (Tasted: October 17, 2020, San Francisco, CA)-WW
Antinori;Antinori Marchese Chianti Classico Riserva;2016;Antinori Marchese Chianti Classico Riserva 2016.jpg;James Suckling;JS;93;"James Suckling 93 * ""A layered and very rich Chianti Classico with blackberries, chocolate and hints of coffee. Full body, round tannins and a flavorful finish."""
Antinori;Antinori Marchese Chianti Classico Riserva;2016;Antinori Marchese Chianti Classico Riserva 2016.jpg;Wine & Spirits;WAS;91;"Wine & Spirits 91 * ""This is a plush and velvety Chianti Classico, with ample notes of toasted vanilla and baking spices that cushion the red cherry and plum tones. The wine shows good freshness and acidity, suggesting a few years in the cellar will allow the fruit and oak to further integrate."""
Antinori;Antinori Marchese Chianti Classico Riserva;2016;Antinori Marchese Chianti Classico Riserva 2016.jpg;Wine Spectator;WS;90;"Wine Spectator 90 * ""A hefty dose of spicy oak wraps around the black cherry, plum and leather flavors. Muscular and broad, with a lingering aftertaste of fruit, tar and spice. Sangiovese and Cabernet Sauvignon. Best from 2021 through 2028."""
Martinelli;Martinelli Zio Tony Pinot Noir;2018;Martinelli Zio Tony Pinot Noir 2018.jpg;Vinous;VIN;97;"Vinous Media 97 * ""The 2018 Pinot Noir Zio Tony Ranch is a magnificent wine that captures all of the Martinelli signatures. Super-ripe red cherry, red plum, blood orange, mint and spice build in a sumptuous, beautifully layered Pinot that dazzles from start to finish. The mix of six different clones is one of the factors that yields a Pinot of stunning complexity. Wow! -- Antonio Galloni"
Tolaini;Tolaini Valdisanti Red Blend;2015;Tolaini Valdisanti Red Blend 2015.jpg;James Suckling;JS;93;James Suckling 93 * Beautiful aromas of blackberries and chocolate follow through to a full body with juicy tannins and a savory finish. Chewy now, but will soften out nicely with bottle age. JS
Tolaini;Tolaini Valdisanti Red Blend;2015;Tolaini Valdisanti Red Blend 2015.jpg;Wine Advocate;WA;92+;Wine Advocate 92+ * This Tuscan blend of 75 Cabernet Sauvignon, 20 Sangiovese and 5 Cabernet Franc is all about richness and fullness, with 18 months in French oak affording it expansive notes of spice and tobacco. The 2015 Valdisanti is a very nice red to enjoy with a nice plate of your favorite grilled meats. ML
Tolaini;Tolaini Valdisanti Red Blend;2015;Tolaini Valdisanti Red Blend 2015.jpg;Wine Spectator;WS;90;Wine Spectator 90 * This is dense and broad-shouldered, offering plum, cherry, leather, earth, almond and saline notes. Firmly tannic, with a muscular finish. Cabernet Sauvignon, Sangiovese and Cabernet Franc. Drink through 2033. BS
Uccelliera;Uccelliera Rosso di Montalcino;2018;Uccelliera Rosso di Montalcino 2018.jpg;Vinous;VIN;93;"Vinous Media 93 * ""Luminous dark red. Lively aromas of redcurrant, red licorice, and mint, plus complicating nuances of balsamic oils and violet. Juicy, spicy flavors of red berries and cherries are very deep and pure. In a cooler, low-fat style than usual for this wine, with harmonious acidity nicely extending the flavors on the long juicy and perfumed back end. A declassified Brunello, this is a really outstanding Rosso di Montalcino. -- Ian D'Agata"""
Uccelliera;Uccelliera Rosso di Montalcino;2018;Uccelliera Rosso di Montalcino 2018.jpg;Wine Advocate;WA;00;Without a shadow of a doubt, Andrea Cortonesi of Uccelliera lands high on my list of favorite Brunello di Montalcino producers.  The Wine Advocate
Frank Family;Frank Family Vineyards Zinfandel;2017;Frank Family Vineyards Zinfandel 2017.jpg;Wine Enthusiast;WE;90;Wine Enthusiast 90 * “Viscous and jammy with peppery, herbal components, it offers firm structure and bold ripeness. The oak is toasted and well-integrated.” — Virginie Boone, Wine Enthusiast
Le Potazzine;Le Potazzine Brunello di Montalcino;2016;Le Potazzine Brunello di Montalcino 2016.jpg;Wine Enthusiast;WE;99;"Wine Enthusiast 99 * Cellar Selection * ""Earthy aromas of blue flower, rose, underbrush and leather mingle together on this gorgeous, fragrant red. All about finesse and flavor, the medium-bodied palate is absolutely delicious, featuring juicy morello cherry, crushed raspberry, baking spice, star anise and the barest hint of game. It's radiant and beautifully balanced thanks to taut, polished tannins and bright acidity. It's already showing incredibly well but hold for even more complexity. Drink 2022–2036."""
Le Potazzine;Le Potazzine Brunello di Montalcino;2016;Le Potazzine Brunello di Montalcino 2016.jpg;Wine Advocate;WA;96+;"Wine Advocate 96+ * ""Le Potazzine always delivers a smooth and silky style with extreme elegance and the lifted cool-climate fruit that you get from this high-altitude growing site. The 2016 Brunello di Montalcino is taut and firm with cherry fruit, dried raspberry, tilled earth, spice and blue flower. The wine sees an extended fermentation of 40 days and ages in botte grande for 42 months. This is a well-balanced wine that is slightly thinner, with one notch lower intensity in this vintage compared to past editions. You get a light, sharp and streamlined style. I prefer the 2015 vintage slightly to this wine, but I'm suggesting a longer drinking window here. This is an 18,000-bottle release that hits the market in January 2021."""
Le Potazzine;Le Potazzine Brunello di Montalcino;2016;Le Potazzine Brunello di Montalcino 2016.jpg;Vinous;VIN;95;"Vinous Media 95 * ""The remarkably pretty 2016 Brunello di Montalcino shows a pure bouquet full of wild strawberries, woodland berries and herbs with a hint of crushed stone. Its soft and enveloping, displaying fleshy red fruits, savory spice and salty minerals, while vibrant acids maintain wonderful freshness. Its only at the very end that its youthful structure comes forward, grippy and classically drying, yet under an air of red licorice and inner rose. Theres a beautiful harmony to this vintage of Le Potazzine, which should provide a long and wide drinking window. -- Eric Guido"""
Poggerino;Poggerino Bugialla Chianti Classico Riserva;2017;Poggerino Bugialla Chianti Classico Riserva 2017.jpg;Vinous;VIN;95;Vinous Media 95 * The 2017 Chianti Classico Riserva Bugialla is another stellar wine in this range from Poggerino. Freshly cut flowers and sweet, red berry fruit give the 2017 a surprising amount of freshness. Medium in body, with terrific energy and plenty of verve, the 2017 Riserva is positively stellar. Rose petal, blood orange and spice overtones linger on the racy, exquisite finish. In a word: impressive.~A.G.
Anthill Farms;Anthill Farms Hawk Hill Pinot Noir;2018;Anthill Farms Hawk Hill Pinot Noir 2018.jpg;Wine Enthusiast;WE;96;"Wine Enthusiast 96 * ""From the cool climes of Freestone, just miles from the Pacific Ocean, this vineyard-designate captures all the feral, crisp and complex aspects of site and variety in the right hands. Carbonic, with euphoric red raspberry and strawberry flavors, it is textured, savory and endlessly bright"""
Anthill Farms;Anthill Farms Hawk Hill Pinot Noir;2018;Anthill Farms Hawk Hill Pinot Noir 2018.jpg;Wine Advocate;WA;95;"Wine Advocate 95 * ""The 2018 Pinot Noir Hawk Hill Vineyard is the second iteration of this single-vineyard cuvée, which was made with 25% new French and Austrian oak and 50% whole clusters. Medium ruby-purple, it offers gorgeous aromas of charcuterie, rhubarb, blackberries and aniseed with loads of earthy accents in the undercurrent and top notes of potpourri. The palate is medium-bodied and über satiny with slowly blossoming flavor layers. It walks a beautiful line between concentration of flavor and a light-footed frame, and it finishes very long with addicting juiciness and nuance. Wow!"""
Famiglia Castellani;Famiglia Castellani Chianti Classico Riserva;2016;Famiglia Castellani Chianti Classico Riserva 2016.jpg;James Suckling;JS;93;James Suckling 93 * “A tight and linear red with blackberry, tile and crushed-stone aromas and flavors. Hazelnut undertones. Medium body, firm and chewy tannins and a lively finish. I like the dusty texture to this. Drink or hold. Better with a little more bottle age.”
Ellena Giuseppe;Ellena Giuseppe La Morra Barolo;2016;Ellena Giuseppe La Morra Barolo 2016.jpg;Wine Advocate;WA;92;"Wine Advocate 92 * ""Here's a great value for Nebbiolo watchers. The Ellena Giuseppe 2016 Barolo del Comune di La Morra shows the precision and focus of the vintage with soft tannins, bright fruit flavors and balanced acidity. The bouquet is redolent of wild berry, cassis, tilled earth and blue flower. Skin maceration times are long, at up to 60 days in stainless steel, and the wine completes its final 24 months of aging in both barrique and botte. This Barolo represents a blend of fruit from the Ascheri cru and other sites in La Morra. Some 13,000 bottles (approx 1,000 cases) were released."" "
Ellena Giuseppe;Ellena Giuseppe La Morra Barolo;2016;Ellena Giuseppe La Morra Barolo 2016.jpg;Wine Spectator;WS;93;"Wine Spectator 93 * ""Aromatic, offering floral, licorice, tar and spice notes surrounding a core of cherry. The fruit is more prominent on the palate, where accents of mint and leather also peek through. On the elegant side, with fine balance and length. Best from 2023 through 2042. 1,000 cases made, 500 cases imported."""
Cantele;Cantele Salice Salentino Riserva;2015;Cantele Salice Salentino Riserva 2015.jpg;Wine Spectator;WS;90;"Wine Spectator 90 Top Value 2019 * ""This fresh, medium-bodied red shows a lovely mix of ripe red and black fruit, currant, raspberry and blackberry flavors, with light, creamy tannins."""
Caro;Aruma Malbec;2018;Aruma Malbec 2018.jpg;James Suckling;JS;93;James Suckling 93 *  The smoke, black-tea and dark-berry aromas and flavors are really impressive. Hints of coffee. Full body, firm yet lightly rounded tannins and a flavorful finish. Hard not to drink now. Pure malbec.-JS
Chateau German;Chateau German Bordeaux Rouge;2018;Chateau German Bordeaux Rouge 2018.jpg;James Suckling;JS;91;"James Suckling 91 * ""A sense of minerals in this young red with dark berries, yet white pepper and stone come through as well. Medium body. Firm tannins."" ~JS"
Chateau Thivin;Chateau Thivin Cote de Brouilly;2019;Chateau Thivin Cote de Brouilly 2019.jpg;Wine Advocate;WA;93+;"Wine Advocate 93+ * ""Bottled a mere week before I tasted it, Thivin's 2019 Cte de Brouilly unwinds in the glass with inviting aromas of plums, red berries, warm spices and peonies. Medium to full-bodied, velvety and enveloping, it's bright and precise, with fine depth at the core and real energy, concluding with a long, gently tannic finish. A touch finer-boned and more dynamic than the gourmand, demonstrative 2018, this is showing very well."""
La Rioja Alta;La Rioja Alta Vina Arana Gran Reserva Tempranillo;2014;La Rioja Alta Vina Arana Gran Reserva Tempranillo 2014.jpg;James Suckling;JS;96;"James Suckling 96 Top Value Wines 2020 #34 * "" Lots of mushroom and walnut aromas with plum and leather, too. It’s full-bodied, but very soft and creamy-textured with lots of old wood, mushroom and ripe fruit on the finish. Some chocolate and hazelnut. Complex and gorgeous. Drink or hold."""
La Rioja Alta;La Rioja Alta Vina Arana Gran Reserva Tempranillo;2014;La Rioja Alta Vina Arana Gran Reserva Tempranillo 2014.jpg;Decanter;D;96;"Decanter 96 * ""Arana commemorates one of La Rioja Alta's historic families. The Tempranillo (95%) and Graciano (5%) are aged separately in American oak barrels for three years before blending, then for three years in bottle (two years less than the 904, and six years less than the 890). The winery's keynote to this Rioja is 'freshness'. I agree. Drinking Window 2020 - 2030"""
Mascota;Mascota Vineyards Unanime Gran Vino Tinto;2017;Mascota Vineyards Unanime Gran Vino Tinto 2017.jpg;James Suckling;JS;94;"James Suckling 94 * ""A blend of cabernet sauvignon, cabernet franc and malbec, this delivers beautiful fruit with berry and lemon rind character and hints of toasted oak. Lovely flavorful finish. Delicious."""
Chateau Piney;Chateau Piney Saint-Emilion Grand Cru;2016;Chateau Piney Saint-Emilion Grand Cru 2016.jpg;Wine Enthusiast;WE;91;Wine Enthusiast 91 * This dense wine boasts the firm structure of the vintage. It has a rich feel, generous and with attractive perfumes from the Cabernet Franc in the blend. This smoky wine should age well. * by Wine Enthusiast, RV, 2019.
Domaine Drouhin;Domaine Drouhin Pinot Noir;2017;Domaine Drouhin Pinot Noir 2017.jpg;James Suckling;JS;94;James Suckling 94 * This is so delicious with very vibrant red cherries and a wealth of fresh red flowers and a reticent, spicy edge. The palate has a succulent, pure and very neatly defined feel with a long, chiseled core of fresh red cherries. So pure.-JS
Domaine Drouhin;Domaine Drouhin Pinot Noir;2017;Domaine Drouhin Pinot Noir 2017.jpg;Wine Advocate;WA;93;Robert Parker's Wine Advocate 93 * Pale to medium ruby-purple, the 2017 Dundee Hills Pinot Noir has lovely, layered aromatics of crushed boysenberries, red currant jelly, cinnamon stick, autumn leaves, violets, orange peel and amaro. Its light to medium-bodied with a silky texture, oodles of spice, a grainy frame and seamless freshness, finishing spicy.-RP
Robert Mondavi;Robert Mondavi Napa Cabernet Sauvignon;2018;Robert Mondavi Napa Cabernet Sauvignon 2018.jpg;James Suckling;JS;93;James Suckling 93 * “A complex nose of fresh berries, olives, herbs and spices. Balanced, velvety palate with nice harmony and elegant tannins. Long, savory finish. Delicious. Drink or hold.”
Robert Mondavi;Robert Mondavi Napa Cabernet Sauvignon;2018;Robert Mondavi Napa Cabernet Sauvignon 2018.jpg;Wilfred Wong;WW;90;Wilfred Wong 90 * A beautiful nose redolent of fresh, ripe blackberry and black plum jam, gently framed by notes of dried thyme and toast. On the palate, the wine is full and juicy, brimming with more black fruit and touches of bittersweet chocolate, mint, and dried straw. Generous and harmonious, with velvety tannins and a long, smooth finish. ~winery notes
Castello Banfi;Banfi Centine Rosso;2018;Banfi Centine Rosso 2018.jpg;James Suckling;JS;91;"James Suckling 91 * ""Intense ruby red. Bouquet: Fragrant, with dark fruit and floral nuances. Taste: Medium-bodied, with black cherry and plum flavors and hints of spice."""
Belle Glos;Belle Glos Clark & Telephone Pinot Noir;2018;Belle Glos Clark & Telephone Pinot Noir 2018.jpg;Wine Enthusiast;WE;94;Wine Enthusiast 94 * Plush aromas of black cherry, baked strawberry, caramel and vanilla make for a rich, inviting nose. Theres a hearty texture to the palate, yet freshness remains intact, with a ripe boysenberry flavor thats accented by licorice and fennel pollen.-WS
Belle Glos;Belle Glos Clark & Telephone Pinot Noir;2018;Belle Glos Clark & Telephone Pinot Noir 2018.jpg;Wilfred Wong;WW;91;Wilfred Wong 91 * The 2018 Belle Glos Pinot Noir Clark & Telephone is attractive and opulent on the palate. TASTING NOTES: This wine combines ripe fruit, a shade of smokiness, and candied notes in its aromas and flavors. Pair it with barbecue short ribs with a slightly sweet and savory sauce. (Tasted: April 21, 2020, San Francisco, CA)-WW
Belle Glos;Belle Glos Clark & Telephone Pinot Noir;2018;Belle Glos Clark & Telephone Pinot Noir 2018.jpg;Wine Spectator;WS;90;Wine Spectator 90 * Fruity and rich-tasting, this is filled with concentrated dark plum, boysenberry and cherry compote flavors that are liberally spiced. Peppery hints emerge as well, leading to a finish that lingers with toasty notes. Drink now through 2024.-WS * Bright ruby red with fresh, vibrant aromas of wild blackberry, raspberry jam and cedar box accented by rich floral notes. This wine is juicy and generous on the palate with sweet cherry, field-ripened strawberry, cranberry and just-baked gingerbread. Perfectly balanced with bright acidity and a supple mouthfeel. Fine grained tannins provide an authentic textural distinction and structural depth.-Winemakers Notes 
O'Shaughnessy;OShaughnessy Napa Valley Cabernet Sauvignon;2017;OShaughnessy Napa Valley Cabernet Sauvignon 2017.jpg;Jeb Dunnuck;JD;93;"Jeb Dunnuck 93 * ""Moving to the reds, the 2017 Cabernet Sauvignon Napa Valley checks in as 89 Cabernet Sauvignon, 6 Merlot, and 5 Malbec that spent 20 months in 75 new French oak. Deep purple-colored with notes of blackcurrants, blueberries, smoked earth, white chocolate, and crushed violets, it's medium to full-bodied, ripe, and sexy, with a core of sweet fruit. Its a terrific 2017 as well as a good value."""
O'Shaughnessy;OShaughnessy Napa Valley Cabernet Sauvignon;2017;OShaughnessy Napa Valley Cabernet Sauvignon 2017.jpg;James Suckling;JS;93;"James Suckling 93 * ""A very reserved and structured cabernet with red and dark berries, as well as cedary notes and a savory, iodine-like edge. The palate has a very balanced and composed feel with a sleek, focused edge to the fresh blackcurrant flavors. Drink or hold."""
O'Shaughnessy;OShaughnessy Napa Valley Cabernet Sauvignon;2017;OShaughnessy Napa Valley Cabernet Sauvignon 2017.jpg;Vinous;VIN;91;"Vinous Media 91 * ""O'Shaughnessy's 2017 Cabernet Sauvignon (Napa Valley) is a terrific choice for drinking now and over the next few years. Bright aromatics, plush fruit and silky tannins give the 2017 much of its immediate appeal. Sweet red cherry, plum, mint, spice, blood orange, and rose petal all meld together in this very pretty and engaging Cabernet; there is certainly plenty to like here. As always, the Napa Valley Cabernet is a blend of fruit from O'Shaughnessy's Oakville, Howell Mountain and Mt. Veeder ranches. * -- Antonio Galloni"""
O'Shaughnessy;OShaughnessy Napa Valley Cabernet Sauvignon;2017;OShaughnessy Napa Valley Cabernet Sauvignon 2017.jpg;Wine Advocate;WA;90;"Wine Advocate 90 * ""Composed of 89 Cabernet Sauvignon, 6 Merlot and 5 Malbec, the 2017 Cabernet Sauvignon Napa Valley comes from vineyards on Mount Veeder (56), Howell Mountain (29) and Oakville (15). It was aged in French oak for 22 months, 70 new. Very deep purple-black colored, the nose is just a tad broody and closed to begin, opening out to reveal notes of warm cassis, redcurrant jelly, kirsch and raspberry leaves with hints of wild mushrooms, tilled soil and bay leaves. Medium to full-bodied, the palate delivers a good amount of juicy black fruits with plenty of invigorating red berry and herbal sparks and a chewy texture, finishing on an earthy note. 3,484 cases were made."""
Leviathan;Leviathan Red Blend;2018;Leviathan Red Blend 2018.jpg;Jeb Dunnuck;JD;94;Jeb Dunnuck 94 * “Always a great value, the 2018 California Red Wine is a Bordeaux blend put together by Andy Erickson. The wine reveals a ruby/purple hue as well as complex notes of red and black fruits, green tobacco, cedary spice, and spring flowers. These all flow to a medium to full-bodied, elegant wine that offers good overall concentration, seamless tannins, and a great finish. Very much in the style of the 2018 vintage with its more streamlined, elegant style, it’s going to benefit from 2-3 years of bottle age (although it’s far from unapproachable today) and keep for a solid 10-12 years or more. This is one of the more age-worthy examples of this cuvée that I recall.”-JD
Leviathan;Leviathan Red Blend;2018;Leviathan Red Blend 2018.jpg;James Suckling;JS;93;James Suckling 93 * “Blackberry and asphalt aromas with some violets and rose petals. Medium to full body. Some carbon to the dark fruit. Tasty and delicious. Chewy now, but we like it already. Drinkable now, but will improve with age.”-JS
Belle Glos;Belle Glos Las Alturas Pinot Noir;2018;Belle Glos Las Alturas Pinot Noir 2018.jpg;Wine Enthusiast;WE;94;Wine Enthusiast 94 * “This powerful Pinot Noir offers intense aromas of black plum, purple flowers and toasty melted caramel. The palate is loaded with herbs and spice, from tarragon, sage and bay leaf to cardamom and anise, as well as a rich boysenberry-jam core.”-WS
Chateau Gloria;Chateau Gloria St. Julien;2015;Chateau Gloria St. Julien 2015.jpg;James Suckling;JS;94;James Suckling 94 * What a gorgeous and supple young wine with ultra-fine tannins and vivid acidity. Medium to full body and direct and driven tannins. Shows such beauty. Better in 2020 but already beautiful.
Chateau Gloria;Chateau Gloria St. Julien;2015;Chateau Gloria St. Julien 2015.jpg;Wine Spectator;WS;93;Wine Spectator 93 * WS TOP 100 2018 Rank 63 * Well-steeped plum, fig and boysenberry fruit is richly layered, supported by embedded brambly grip and backed by waves of ganache and sweet tobacco on the finish. This has plenty of energy to carry it in the cellar while it rounds into form.
Chateau Gloria;Chateau Gloria St. Julien;2015;Chateau Gloria St. Julien 2015.jpg;Wine Advocate;WA;91;Wine Advocate 91 * The 2015 Gloria, a blend of 60 Cabernet Sauvignon, 27 Merlot, 7 Petit Verdot and 6 Cabernet Franc, matured for 14 months in 40 new and 60 one-year-old barrels. Deep garnet-purple in color, it has an earthy/meaty nose with a core of black plums and blackberries plus touches of eucalypt and anise. The medium-bodied palate is just a little lean and chewy with an earthy finish.
Alvaro Palacios;Alvaro Palacios Camins del Priorat;2019;Alvaro Palacios Camins del Priorat 2019.jpg;James Suckling;JS;94;"James Suckling 94 * JS TOP 100 2020 Rank 66 * ""Gorgeous, bright fruit with raspberries, black cherries and lavender with some schist. Its medium-bodied with very polished and integrated tannins that go on and on."""
Alvaro Palacios;Alvaro Palacios Camins del Priorat;2019;Alvaro Palacios Camins del Priorat 2019.jpg;Vinous;VIN;92;"Vinous Media 92 * ""Shimmering violet. Vibrant blackberry, cherry and floral aromas are complemented by hints of licorice and succulent herbs. Concentrated bitter cherry and dark berry preserve flavors stretch out and turn livelier with air. Gently gripping tannins give shape and focus to a long, spicy finish that shows very good clarity and repeating florality."""
Alvaro Palacios;Alvaro Palacios Camins del Priorat;2019;Alvaro Palacios Camins del Priorat 2019.jpg;Wine Advocate;WA;91;"Wine Advocate 91 * ""The regional blend 2019 Camins del Priorat is a blend of 35 Garnacha, 24 Syrah, 17 Cabernet Sauvignon, 11 Cariena, 10 Merlot and 3 other varieties. The grapes were destemmed, lightly crushed and then put to ferment with the natural yeasts in a combination of stainless steel, oak and concrete vats. After fermentation, it matured in barrel and oak vats for four months. This wine showcases the power and concentration of 2019, an extraordinarily warm and dry year, but the wine has great finesse. There are more balsamic aromas from the Bordeaux varieties, which incredibly didn't dehydrate that year: the leaves took a long time to turn yellow. There are notes of licorice and something balsamic. This is juicy and chewy, powerful, with muscle, pungent and intense but with great balance and very clean. This is the most modern and international of their wines, with a showy profile. A triumph over the conditions of the vintage.""~Luis Gutierrez"
Inglenook Vineyard;Inglenook Vineyard Cabernet Sauvignon;2015;Inglenook Vineyard Cabernet Sauvignon 2015.jpg;Wine Enthusiast;WE;95;Wine Enthusiast 95 * This bottling reflects the past several years' fine-tuning the winery's vision in the vineyard and in the cellar. Including small amounts of Cabernet Franc, Petit Verdot, Merlot and Malbec, it's a rounded, concentrated wine that expresses the vintage with ripe, grippy tannins that beg for further resolution. Blackberry, clove and leather flavors rise to the fore. Cellar through 2035.-WE
Inglenook Vineyard;Inglenook Vineyard Cabernet Sauvignon;2015;Inglenook Vineyard Cabernet Sauvignon 2015.jpg;James Suckling;JS;94;James Suckling 94 * Aromas of blackberry, chocolate and chili follow through to a full body, tight and chewy tannins and a linear finish. Shows polish and class. A blend of 92 cabernet sauvignon, 6 cabernet franc, 2 merlot. Very well done for the vintage. Try in 2020 but already attractive.-JS
Inglenook Vineyard;Inglenook Vineyard Cabernet Sauvignon;2015;Inglenook Vineyard Cabernet Sauvignon 2015.jpg;Decanter;D;92;Decanter 92 * Owner Francis Ford Coppola has renamed his Cask Cabernet - second wine to Rubicon - and it's a fine drink for the money in the rarified air of Napa. Winemaker Chris Phelps used all five Bordeaux red grapes from seven vineyard blocks, and the wine is loaded with savoury spice, rich dark fruits and silky tannins. Cellar Rubicon and drink this while you wait. 50 new French oak.-DM
Inglenook Vineyard;Inglenook Vineyard Cabernet Sauvignon;2015;Inglenook Vineyard Cabernet Sauvignon 2015.jpg;Wine Advocate;WA;92;Robert Parker's Wine Advocate 92 * Blended of 88 Cabernet Sauvignon, 6 Cabernet Franc, 5 Petit Verdot and 1 Merlot, the 2015 Cabernet Sauvignon is deep garnet-purple colored and features a boisterous nose of blueberry pie, blackcurrant cordial and Black Forest cake with suggestions of chocolate mint, potpourri, baking spices and cedar chest. Full-bodied and concentrated in the mouth, it has a solid frame of chewy tannins and just enough freshness to lift the densely packed fruit to a long finish.-RP
Rodney Strong;Rodney Strong Reserve Cabernet Sauvignon;2016;Rodney Strong Reserve Cabernet Sauvignon 2016.jpg;Wilfred Wong;WW;92;"Wilfred Wong 92 * ""The 2016 Rodney Strong Vineyards Reserve Cabernet Sauvignon is one of the best deals amongst Cabs. TASTING NOTES: This wine sports aromas and flavors of black fruit and oak."""
Volver;Bodegas Volver Tarima Hill Monastrell;2017;Bodegas Volver Tarima Hill Monastrell 2017.jpg;Wine Spectator;WS;92;"Wine Spectator 92 * Top 100 Wine Value of 2020 * ""This bold red features a thick, rich texture, with ripe, heady flavors of currant and blackberry preserves, backed by cocoa, espresso and loamy earth notes. Muscular tannins are well-integrated, with enough orange peel acidity to keep this lively. Harmonious, in a full-throttle style."""
Alvarez de Toledo;Alvarez de Toledo Mencia Roble;2015;Alvarez de Toledo Mencia Roble 2015.jpg;Wine Enthusiast;WE;90;Wine Enthusiast 90 * BEST BUY * Welcoming aromas of berry fruit come with a bit of oaky menthol in support. A full palate, bright acidity and slightly edgy tannins make for a healthy ride. Plum, currant and juicy berry flavors are choppy on a fresh, bold finish. * by Wine Enthusiast, MS, 2018.
Penfolds;Penfolds Bin 389 Cabernet Sauvignon/Shiraz;2018;Penfolds Bin 389 Cabernet Sauvignon-Shiraz 2018.jpg;James Suckling;JS;97;James Suckling 97 * A blend of 57 cabernet sauvignon and 43 shiraz, this has a very impressively complete feel, a hallmark of the 2018 vintage wines, and theres a myriad of characters with cabernets cedary and gently herbal notes sitting atop a core of rich red-plum and dark-berry shiraz fruit aromas. So integrated. The palate has a very silky texture, so plush and polished with a wealth of rich and intense dark-plum, dark-berry and blackcurrant flavors. The oak is completely soaked with ripe, fresh fruit. This is a great Bin 389. Drink over the next two decades.
Penfolds;Penfolds Bin 389 Cabernet Sauvignon/Shiraz;2018;Penfolds Bin 389 Cabernet Sauvignon-Shiraz 2018.jpg;Decanter;D;96;Decanter 96 * Confident Cabernet (57) leads this high-spirited, swirling dance, as a breezy wisp of blue and black berries waft over the earthy bulk of sturdy Shiraz. Its a clever trick for such bright fruit to be contained by tannins in an interlocked embrace, without smothering the obvious exuberance of this marriage. Supple and nimble, it keeps shifting and changing in the glass. A truly beautiful blend.
Penfolds;Penfolds Bin 389 Cabernet Sauvignon/Shiraz;2018;Penfolds Bin 389 Cabernet Sauvignon-Shiraz 2018.jpg;Wine Advocate;WA;93;Robert Parker's Wine Advocate 93 * Hints of toasted coconut accent big cassis aromas on the nose of the 2018 Bin 389 Cabernet Shiraz, which is a 57-43 blend this vintage. Full-bodied, with cherry flesh complementing the sterner cassis and tobacco notes, it's supple enough to be approachable now, yet with the concentration and requisite dusty tannins on the long finish to support more than a decade of aging
Penfolds;Penfolds Bin 389 Cabernet Sauvignon/Shiraz;2018;Penfolds Bin 389 Cabernet Sauvignon-Shiraz 2018.jpg;Wilfred Wong;WW;92;Wilfred Wong 92 * COMMENTARY: The Penfolds Bin 389 has been one of the world's top examples of the Cabernet-Shiraz blends. The 2018 vintage continues this wine's success story. TASTING NOTES: This wine deftly combines red and black fruit aromas and flavors with notes of minerality and savory spices. Enjoy it with a well-seasoned, slow-cooked beef stew. (Tasted: August 29, 2020, San Francisco, CA)
Tenute Trinoro;Tenuta di Trinoro Le Cupole Rosso Toscana;2018;Tenuta di Trinoro Le Cupole Rosso Toscana 2018.jpg;Wine Advocate;WA;94;"Wine Advocate 94 * ""This is a terrific wine that hits that proverbial sweet spot between excellence and value. The Tenuta di Trinoro 2018 Le Cupole is a blend of 40 Cabernet Franc, 37 Merlot, 13 Cabernet Sauvignon and 10 Petit Verdot that sees a brief eight months in second and third-passage barrique followed by some additional resting time in cement. Production is an ample 70,000 bottles. This lovely vintage shows dark fruit intensity and richness with cherry, blackberry and plum. There is a touch of sweetness, but the mouthfeel is well constructed and layered with phenolic tightness and tight natural structure that will help it age 10 years or more. Le Cupole is one of the best values found in Tuscany."""
Chateau De Haute-Serre;Chateau de Haute-Serre Malbec;2016;Chateau de Haute-Serre Malbec 2016.jpg;Wine Enthusiast;WE;92;Wine Enthusiast 92 * Full of black fruits, this wine has structure, density and concentration. At the same time, it shows restraint and even elegance, giving a poised statement of Malbec. Juicy acidity at the end adds freshness. Drink the wine from 2020. ~R.V.
