Country;Region;Subregion;Producer;Producer_Full;Producer_Notes;Title;Classification;Color;Grapes;Wine_Notes;Year;Alcohol;Maturity;Description;Pic_Name;Size;Price;Currency;Tax;Store;Store_Co;Store_Ci;Date
France;Burgundy;Maconnais;Louis Jadot;Louis Jadot;Since 1859, one of the most venerable wine houses in Burgundy.Jacques Lardière has been Maison Louis Jadot's technical director since 1970. He is acknowledged as one of Burgundy's finest winemakers.Owns 280 acres of the Côte d'Or's most prestigious Premier and Grand Cru plots.Places equal importance on the wines of each of Burgundy's appellations, whether village wines or Grands Crus.Vinification balances tradition and technology, focusing on the purest expression of each wine's terroir.Restrained use of new oak maturation allows terroir to shine.In Burgundy's Côte d'Or, where the integrity of the producer is often more important than a renowned appellation or vineyard, Maison Louis Jadot is one of the most trusted and revered wine houses. Jadot's esteemed winemaker, Jacques Lardière, and his team have maintained a balance of tradition and technology in winemaking. This allows Jadot's wines to express the subtle differences between terroirs that are the essence of fine Burgundy.Founded in 1859, the house has grown through a long-term policy of acquisition or management of exceptional vineyard lands, and now owns 528 acres of vineyards, including 280 acres of the Cote d'Or's most prestigious Premier and Grand Cru plots.;Macon Villages Blanc;;white;Chardonnay;;2020;;;;Louis Jadot Macon Villages Blanc 2020.jpg;750;11.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Rhône;Gigondas;Les Pallieres;Domaine Les Pallieres;Domaine Les Pallières is undeniably one of the greatest, longest-running properties of the Southern Rhône--outside the village of Gigondas, woven into the foothills of the beautiful and brooding Dentelles de Montmirail. The domaine had been a continuously running farm within the same family since the fifteenth century! Les Pallières was once a famous domaine with wines of impeccable character, yet the property had slowly fallen into disrepair. Two great frosts of the twentieth century had killed off many of the olive and fruit trees, and both the winery and the vineyards were badly in need of repairs. By 1998, the Roux brothers wanted to make a change. With no future successors to take their place, they decided to sell.The Brunier brothers, Daniel and Frédéric, of the famed Vieux Télégraphe in Châteauneuf-du-Pape, were rising stars in the Southern Rhône at the time, having distinguished themselves time and time again with world class wines. A casual discussion over lunch at Chez Panisse between Daniel and Kermit Lynch, the Brunier's longtime American importer, spontaneously turned into a game plan to revive the faded jewel--Les Pallières. Though the competition to buy the domaine was fierce with very reputable names in the mix, the Roux brothers finally decided to sell to the Bruniers and Kermit. After decades of neglect, Pallières' renaissance had begun.;Au Petit Bonheur Rose;;pink;;;2019;;;;Domaine Les Pallieres Au Petit Bonheur Rose 2019.jpg;750;24.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Rhône;Cairanne;Roche;Domaine Roche;;Cairanne;;red;;;0000;;;;Domaine Roche Cairanne.jpg;750;15.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Rhône;Cotes du Rhône;Ferrand;Domaine de Ferrand;;Cuvee Antique Cote du Rhone;;red;;;2018;;;;Domaine de Ferrand Cuvee Antique Cote du Rhone 2018.jpg;750;20.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Loire;Sancerre;Pastou;Domaine  Pastou;Domaine Pastou is located in the commune of Sury-en-Vaux, a sleepy town located amidst the rolling hills in the Northern section of the Sancerre appellation. Jean-Marc Pastou has been making wine under his own label since the early 1980's, planting his first vines (now his oldest), in that same year. They hold a total of 12 hectares of Sauvignon Blanc vines in Sancerre, including numerous parcels in the lieu dit of 'Les Boucaults' – the bulk of which goes into the cuvee for MSW, hence the name of this bottling.This wine is a perennial favorite, delivering minerally driven, beautiful Sancerre fruit for an amazingly good price.;Domaine Pastou VV Sancerre;;white;Sauvignon Blanc;;2020;;;;Domaine Pastou VV Sancerre 2020.jpg;750;17.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
France;Loire;Upper Loire;Regis Minet;Regis Minet;One could easily consider Régis Minet the Loire Valley's answer to an action hero. He may play it cool on the outside, but at closer look, one sees a man of brooding intensity on an insatiable quest for adventure. It may just be in the blood. His grandfather, Robert Minet, was an artisan tonnelier, or barrel-maker. At the beginning of the last century, Robert kept a mere three hectares of vines in the eastern Loire town of Pouilly-sur-Loire--just enough to make the family's wine. He, too, was very independent, living autonomously off his own livestock and fresh vegetables from his farm. When he passed away in 1976, Régis left his studies to continue the work of the domaine without giving it a second thought. Since then, he has made this tiny farm a full-time domaine, and has succeeded in adding an additional eight hectares of vineyards to the holdings. It is certain that his love of his native terroir translates into his wines, although one sees it in many other aspects of his character as well. Watching him fervently serve a plate of crottins de chevre to guests, seeing his latest fossilized finds after a day of diving into the bottom of the Loire River, or watching him tinker with his motorcycle after an epic ride is proof enough that Régis shares both his grandfather's rogue-ishness and love of the land.;Vieilles Vignes Pouilly Fume;;white;Sauvignon Blanc;;2018;;;;Regis Minet Vieilles Vignes Pouilly Fume 2018.jpg;750;19.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Greece;Amyntaion;Amyntaion;Alpha Estate;Alpha Estate;"Alpha EstateAlpha Estate is located in the heart of the Amyndeon, a wine region in the Northwest of Greece. The estate's vineyards cover 65 hectares situated on a plateau between 620 and 710 meters above sea level. The soil is sandy clay, ideal for water drainage.Alpha Estate is presided over by Angelo Iatridis, considered by many to be Greece's most promising winemaker. Angelo cultivates international varieties as well as indigenous Greek varieties, and all the wines are elaborated in Alpha's state-of-the-art gravity-flow winery.""This winery has been considered to be a ""comer"" for awhile. It's fair to end that talk. They have arrived and are making terrific wines. They have their own style and the Amyndeon terroir is somewhat different than Naoussa, they say, which is the signature appellation for Xinomavro in Greece. Taking that all together, Alpha's wines are more refined and accessible than some of the more rustic versions of Xinomavro.""-The Wine Advocate";Sauvignon Blanc;;white;Sauvignon Blanc;;2020;;;;Alpha Estate Sauvignon Blanc 2020.jpg;750;16.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Italy;Italy;Famiglia Pasqua;Famiglia Pasqua;Easter Wineries & Vineyards is a historic company in the production of wines from the Veneto and Italian quality, a leader in the Italian market and abroad. A family passion. Almost a century of history.The Easter story Vineyards and Cellars begins in 1925 when the first generation of brothers Easter arrives in Verona with the aim of founding a company dedicated to the sale of wine from their own homeland, Puglia. From the sale of the wines you get to the foundation of a real wine cellar. In a few years the company stated in the Italian wine scene with the acquisition of new vineyards in the area of ??Verona.In the 60s he joined the company the second generation, which brings openness to exports and an orientation towards quality. The birth in the 80s of Cecilia Beretta, farm and cutting-edge research center for research on varieties, grafting and vineyards, is the symbol of the continuous pursuit of excellence.In the mid 2000s the company made a major investment, which demonstrates the rooting in their territory, with a new wine cellar and production facilities in San Felice, in the heart of its vineyards.With the arrival in the company of the third generation, composed of Richard Alexander, Cecilia and John, it has further strengthened the focus on international markets, which culminated in 2009 with the creation of Easter Usa LLC in New York. Currently the company operates in 50 markets worldwide.;11 Minutes Rose;;pink;;;2020;;;;11 Minutes Rose 2020.jpg;750;12.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Abruzzo;Montepulciano d'Abruzzo;La Quercia;La Quercia;;Montepulciano DAbruzzo;;red;;;2019;;;;La Quercia Montepulciano DAbruzzo 2019.jpg;750;10.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Abruzzo;Montepulciano d'Abruzzo;Zonin;Zonin;Since 1821 the Zonin family, seven generations of winemakers in Northern Italy, has owned and operated Casa vinicola Zonin. The Zonin family's portfolio includes nine wineries located in seven of the most renowned wine regions in Italy.Every wine made by the Zonin Family is inspired by the philosophy of preserving the local winemaking traditions, land and culture of their respective Regions.Today the Zonin family vineyards cover more than 9,800 acres of land, 5,000 of which are dedicated to vineyards. An additional 1,200 acres, 225 of which are dedicated to vineyards located at Barboursville Vineyards in Virginia in the United States.Each winery is committed to upholding its unique winemaking traditions, offering the highest quality wines, from the vineyard to the glass, and reducing its carbon footprint in order to preserve the land for future generations.;Montepulciano;;red;;;2019;;;;Zonin Winemakers Montepulciano 2019.jpg;750;6.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Trentino - Alto Adige;Alto Adige Terlano;Cantina Andriano;Cantina Andriano;Cantina Andriano was founded in 1893 and was the first cooperative in Alto Adige. The vineyards are unique to the area because they are protected to the west by Mount Gantkofel which is made of dolomite rock and calcareous stone. The sedimentary rock from this peak over the years has eroded and settled forming a downward sloping hill of deposited soil at the base of this valley that expands like a fan from the mouth of the valley, over an area of 200º from south-southeast to northeast and at an altitude of 260-340 meters above sea level. This fertile calcareous clay soil is typical of the area and leaves its footprint in the wine's character. The vineyards see the sun from early morning to mid afternoon. These cooler climatic conditions with respect to other areas in Alto Adige are responsible for the crisp acidity in the wines that give them their unique complexity and freshness. The wines are elegant with good aging potential. In September 2008, Cantina Andriano was absorbed into the cooperative of Cantina Terlano, a move to unify these two cooperatives who are in the same small DOC of Terlano. The Andriano wines however are kept completely separate, as they have their distinct traits, terroir and history. The staff of Terlano manage the vineyards, vinification procedures, and the sales of Andriano wines. Andriano is adopting the same philosophy of Terlano wines: high-quality terroir wines.;Finado Pinot Bianco;;white;;;2019;;;;Cantina Andriano Finado Pinot Bianco 2019.jpg;750;15.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Carmignano;Carmignano;Capezzana;Tenuta di Capezzana;;Villa di Capezzana Carmignano DOCG;;red;;;2015;;;;Capezzana Villa di Capezzana Carmignano DOCG 2015.jpg;750;26.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Piedmont;Barbaresco;Adriano Marco e Vittorio;Adriano Marco e Vittorio;;Sanadaive Barbaresco;;red;;;2018;;;;Adriano Marco e Vittorio Sanadaive Barbaresco 2018.jpg;750;25.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Piedmont;Barolo;Mauro Molino;Mauro Molino;On a visit to Piedmont in 2004, Matteo Molino stood out amongst our group of Langaroli – and not just for his exceptional height! His wines were great and well-priced. He was quick to understand both the potential and challenges of our market. And he spoke English very well, with a great passion for Nebbiolo – not just his own. In the next decade, he and his younger sister Martina would take over the reigns at their father's estate, and guide it into the international spotlight by both making great wines and traveling to engage and charm international customers into Molino fans.Mauro Molino, Matteo and Martina's father, founded the estate. In 1973 Mauro graduated from enology school in Alba, and then followed that with five years of winemaking experience in Emilia Romagna. In 1979 after his father's passing, he returned home to the family farm in La Morra and began consulting for local wineries while building up his own estate. 1982 was the first vintage from the famed family parcel in Conca dell'Annunziata, the conch-shaped parcel pictured above, and the rest is history. In 2003 Matteo joined the company and became a familiar face to our staff, and then in 2009, Matteo's sister also joined the gang. Today they manage approximately 12 hectares of vineyards, 50% dedicated to Nebbiolo for Barolo, and the rest mostly Barbera, and Dolcetto. This estate practices sustainable viticulture.Vineyard Management: Integrated insect and disease control is followed. Control treatments are carried out only when strictly necessary (an expert consults for the estate). Sulfur- and copper-based products are mainly used. A minimum number of insect-control treatments are applied and only with low-environmental-impact products. Natural cover crops (grass cover) are left in the rows between the vines. In autumn the soil on every other row between the vines is tilled. Only organic fertilizers are used. Very low doses of SO2 are added to the wines (the minimum to prevent oxidation);Gallinotto Barolo;;red;;;2017;;;;Molino Gallinotto Barolo 2017.jpg;750;39.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Piedmont;Barolo;Michele Chiarlo;Michele Chiarlo;"Michele Chiarlo WineryThe wine producing firm of Michele Chiarlo was founded in 1956 by the sole and present owners, Michele and Giuseppina Chiarlo. Son of over seven generations of esteemed wine growers, Mr. Chiarlo is today one of the most respected producers of the fine wines of Piedmont and a leading figure in its viticultural industry.At the production and vineyard level, where quality begins, Michele Chiarlo has for thirty years pursued an endless search for control over the finest vineyard sites in each of the zones from which he produces his wines. Perhaps the crown jewel among these is the vineyard of Fornace di Tassarolo in the Rovereto area of Gavi, a small parcel planted in 1910 which yields a brilliant and intense Gavi of exquisite refinement. He also has long-term agreements with the owners of two spectacular vineyards in the Castiglione Falleto and Serralunga crus of Barolo, from which he produces Barolo Riserva Rocche di Castiglione and Barolo Riserva Vigna Rionda di Serralunga. In addition to these contracts, he has also purchased the Antico Podere Averame in the Cerequio cru of Barolo, considered one of the zone's finest Nebbiolo vineyards; and an estate, also in Barolo in the cru of Cannubi, which due to its extremely sharp gradient had never been cultivated. With considerable capital investment, this vineyard has been terraced and brought into production, the first time such a project has ever been undertaken in Piedmont.In 1995, Michele Chiarlo acquired the estate of Azienda Agricola Aluffi in Castelnuovo Calcea, considered to the most beautiful and prestigious property in the heart of the classic Barbera d'Asti zone. The estate is comprised of two separate vineyard holdings, La Court and Il Castello, with a total area of 62 acres of which 50 are planted in Barbera vines, quite extensive for this area. The principally southwest and easterly-exposed slopes support superb, calcium and mineral rich soils which are of ideal composition for the production of great Barbera d'Asti.Michele Chiarlo directly manages or personally oversees every aspect in the production of his wines. Eminently qualified through the expertise acquired through his involvement with the company under his father, he also holds a degree from the prestigious School of Enology at Alba. His ceaseless innovation, both in production and in marketing, has gained him the respesct of his industry.";Nivole Moscato DAsti;;white;Moscato;;2020;;;;Michele Chiarlo Nivole Moscato DAsti 2020.jpg;750;15.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Piedmont;Barolo;Oddero;Oddero;;Barolo;;red;;;2017;;;;Oddero Barolo 2017.jpg;750;39.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Sicily;Sicily;Firriato;Firriato;;Chiaramonte Nero DAvola;;red;;;2017;;;;Firriato Chiaramonte Nero DAvola 2017.jpg;750;14.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Trentino - Alto Adige;Trentino;Cavit;Cavit Collections;Founded in 1957, Cavit has earned an international reputation as an innovative leader in Trentino winemaking. Today it is responsible for approximately 70% of this northern Italian province's entire wine production.The company is based on a partnership between 5,000 member growers, organized into 14 associated cellars located throughout Trentino in zones noted for the quality of their production. Grapes are crushed and vinified at each cellar and after selection sent to Cavit's central winery near Trento for finishing, bottling and aging.Cavit is a capital example of cooperation and size on a human scale. Trentino winemaking families are able to tap into a pool of resources and attain levels of quality that might otherwise lie beyond their reach.Strength in numbers has also enabled Cavit to develop its own showcase hospitality and research center (which works closely with Italy's most prestigious school of viticultural research at nearby San Michele all'Adige), at the beautiful Maso Torresella, a former archbishop's castle on the shores of Lake Toblino.The rewards of cooperation between Cavit's growers are apparent at every level, not least among consumers, for whom Cavit produces consistently high quality, affordably priced premium wines that have captured literally hundreds of awards and medals to date and are in demand in over 20 countries worldwide.;Cavit Zero Oak Chardonnay 187ml;;white;Chardonnay;;0000;;;;Cavit Zero Oak Chardonnay 187ml.jpg;187;1.75;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Tuscany;Brunello di Montalcino;Altesino;Altesino Winery;Though the worldwide reputation of Brunello has encouraged some conservatism among Montalcino estates, Altesino has always been a leader, unafraid of innovation. The estate pioneered the technique of aging its IGT wines in small French oak barrels, limiting the time spent in oak to enhance each wine's personality. The resulting wines were a groundbreaking improvement over those produced by traditional methods. No longer overwhelmed by wood, they were able to display the unique characteristics of the fruit, with softened tannins and perfect balance.Not content to rest on its laurels, Altesino became the first Montalcino estate to introduce the concept of cru wines, made with a special selection of grapes from a single vineyard. Its Montosoli Brunello, named after the prestigious vineyard, was the first of these wines and is still considered among the regions finest. Altesino also pioneered the concept of Brunello futures (wine purchased before its release) with its 1985 vintage. This commitment to innovation led to many modern wines in the estates portfolio, including Alte d'Altesi, Palazzo Altesi and Rosso di Altesino. Elegance, finesse, and a fruitier, richer style are the trademarks of Altesino's wines and have earned the estate a position among the very top producers of Brunello. This achievement is even more impressive considering Brunello is perhaps the most recognized Italian appellation.;Brunello di Montalcino;;red;;;2015;;;;Altesino Brunello di Montalcino 2015.jpg;750;52.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Tuscany;Toscana IGT;Antinori;Antinori Winery;"The Antinori family has been involved in the production of wine for over six centuries, ever since, in 1385, Giovanni di Piero Antinori entered as a member, the ""Arte Fiorentina"", the Winemakers' Guild of the city of Florence. During this entire long period, thorough twenty six generations, the family has always directly managed this work with courageous and, at times, innovative decisions, but always maintaining, unaltered, a fundamental respect for tradition and for the territory in which they have operated.Today the firm is run by Marquis Piero Antinori with the support of his three daugthers, Albiera, Allegra, and Alessia, directly involved in the work of the house. Tradition, passion, and intuition have been the three driving principles which have led the Marquis Antinori firm to become a leader in Italian wine.Each and every vintage, each and every separate area, each and every idea which is to be put into practice is a new beginning, a new search for higher quality standards. As Marquis Piero Antinori likes to repreat: ""ancient roots play an important role in our work. But have never been a limit to our innovative spirit"". The estates in Tuscany and Umbria, the historic patrimony of the family, have been joined, over time, by investments in other territories with an important potential for high level wine both in Italy and abroad, in places where it would be possible to begin working for a larger prestige and wider awareness of the family's ability to produce outstanding wine.";Toscana Villa  Bianco;;white;;;2019;;;;Antinori Toscana Villa Antinori Bianco 2019.jpg;750;11.45;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Tuscany;Chianti;Fontaleoni;Azienda Agricola Fontaleoni;Azienda Agricola Fontaleoni is a small estate whose vineyards are located at 200 meters above sea level, the ideal altitude for growing the Vernaccia varietal. It was established in 1959 when the Troiani family, vignerons for generations, moved to Tuscany. Restructured in the nineties, the cellar was renovated and new vineyards were planted in order to produce high-quality wines. Low yields of grapes, careful harvest and pressing of this fragile grape, and conscientious winemaking, have produced Vernaccia wines that continue to grow in quality and fame every year since the first bottling, in 1994. Clearly, this is an estate to keep watching!Their ever popular, Vernaccia di San Gimignano, is a lively dry white wine from the area surrounding the medieval town of San Gimignano in Tuscany which has a rich history dating back to at least 1286. San Gimignano is famous for its centuries-old towers that dot the town, erected as safeguards to see approaching enemies. Vernaccia di San Gimignano was also the first DOC wine to be declared in Italy, in 1966.Fontaleoni also produces an outstanding Chianti – at a tremendous value!Vineyard Management: Disease-control treatments are carried out only when strictly necessary. Only sulfur- and copper-based products are used. No insecticides are used. Only organic fertilizers are used (not very often). Cover crops (grass cover) are left on the rows between the vines and either in all the rows or in every other row. The grass is mowed and left in the rows (the turf is left in place). No herbicides are used. Very low doses of SO2 are added to the wines.Farming Practice:Practicing Organic;Colli Senesi Chianti;;red;;;2019;;;;Fontaleoni Colli Senesi Chianti 2019.jpg;750;9.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Tuscany;Montepulciano;Carpineto;Carpineto;In 1967, Giovanni Carlo Sacchet and Antonio Mario Zaccheo set out to revolutionize wine and produce a Chianti Classico so presitigious that it would gain international renown.These two wine fanatics saw an enormous potential that was not being used in Tuscan soil. They understood that applying cutting-edge technology and pushing the standard of quality even further, would create the ultimate of wines. And they did just that.Giovanni and Antonio made the Carpineto wine brand into an international success, which is currentlyexported to over 70 countries worldwide.The intensity, integrity and consistency of their wine has earned them a solid reputation among consumers and critics alike. Carpineto wines, especially the aged reds, have received numerous awards and accolades.Innovators by tradition, Giovanni Carlo Sacchet and Antonio Mario Zaccheo continue to experiment with some of their classics with a strong focus on traditional Tuscan values. Carpineto has proven itself a leader in both prestigious wines such as Tuscan DOCG and innovative structured varietal wines.;Nobile di Mont di Montepulciano Riserva;;red;;;2016;;;;Carpineto Vino Nobile di Mont di Montepulciano Riserva 2016.jpg;750;25.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Tuscany;Chianti;Banfi;Castello Banfi;Castello Banfi is a family-owned vineyard estate and winery located in the Brunello region of Tuscany.  This award-winning estate was founded on the philosophy of blending tradition with innovation, and is recognized as a pioneer in elevating the standards of Italian winemaking.Dedication to excellence has won the approval of aficionados the world over.  Capturing honor after prestigious honor, Castello Banfi is a constellation of single vineyards encompassing over three dozen varying subsoils.  The estate is renowned for its clonal research that allows noble grape varieties to thrive in their optimal terroir, creating not only a consistently outstanding Brunello, but the ultimate expression of Montalcino Super Tuscans.;Chianti Classico;;red;;;2019;;;;Banfi Winery Chianti Classico 2019.jpg;750;12.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Tuscany;Tuscany;Costello Montauto;Costello Montauto;;Vernaccio;;white;;;2019;;;;Costello Montauto Vernaccio 2019.jpg;750;12.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Tuscany;Toscana IGT;Donna Laura;Donna Laura;"Donna Laura red wines are produced from first-class Sangiovese grapes grown in the Castelnuovo Berardenga region of Chianti Classico. This new venture, spearheaded by owner Lia Tolaini-Banville, was initiated to fulfill a need in the American market for consistent high quality Sangiovese wines at an accessible price point that are representative of the terroir of the region. To combine the best of tradition and modern characteristics, Donna Laura wines are a blend of two Sangiovese clones, CH-20 brings structure, while F9, a more modern clone, augments the fruit intensity. A portion of the grapes come from the highly esteemed Tolaini vineyards and Lia also makes the Donna Laura wines in her father's state-of-the-art winery. As a result, the quality of care of the expert winemakers at Tolaini as well as the innovative equipment and techniques in the winery produce outstanding wine at an affordable price point.This balance of old and new character initiated in the vineyard, in cooperation with modern winemaking techniques, makes these three wines, Bramosia, Alteo and Ali, delicious to drink on their own, or equally pleasing with a variety of different foods. No wine better accompanies Italian meats, cheeses, pastas and pizzas than a Sangiovese - it's a natural pairing that is as historic as wine itself.The Story of Donna LauraWhen she was just 6 years old, Lia visited Lucca, Tuscany with her father and met her Aunt Laura for the first time. A mother to three energetic boys, Aunt Laura was instantly drawn to the gentler Lia and they quickly formed a strong bond. Then from the time she was just 11 years old, Lia spent every summer with Aunt Laura and her cousins, immersing herself in the culture of their family. This special experience became such an important part of Lia's life that after graduating from university, she returned to live in Florence to study art and spend as much time as possible with Aunt Laura and her family in nearby Lucca. Even after she married her sweetheart in Canada and returned to live there, Lia continued to visit Aunt Laura with her own children so that they would also have an opportunity to get to know this very special and incredibly wise woman who was so dear to her.Aunt Laura died suddenly of a heart attack in March of 1996. In 2004, Lia started her own label; it was natural that she would name the winery in honor of this woman who had had such an amazing influence on her life, on her love and appreciation of Italy and who Lia had, in short, become. Her appreciation of Italian culture, art and food were thanks to her aunt, Donna Laura. The label of the first wine, Bramosia Chianti Classico DOCG, was inspired by one of Laura's favorite pieces of art, a painting of Bacchus, Cupid and Venus by Dutch artist Hendrick Goltzius. Also in honor of her family, Lia named the Ali Sangiovese IGT for her daughter Alicia and the Alteo Chianti DOCG after her sons Alessandro and Matteo. Cupid on the Ali label is taken from the Bramosia painting and is a fitting image to represent Ali; in Italian ""ali"" means wings. Bacchus, the mischievous boy of mythology, is the perfect symbol for Lia's two boys.";Ali Rosato - Sangiovese;;pink;;;2020;;;;Donna Laura Ali Rosato - Sangiovese 2020.jpg;750;8.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Tuscany;Toscana IGT;Piazzano;Fattoria di Piazzano;"The Bettarini family have farmed Fattoria di Piazzano since its inception in 1948, when Otello Bettarini, a successful manufacturer from nearby Prato, fell in love with the area's rolling landscape and bucolic charm.  But winemaking in these tufted hills south of Empoli goes back considerably farther than that; archeological excavations on the property have unearthed wine amphorae dating from the 4th century CE!  In fact, the very name Piazzano is derived from the Latin ""Fundus Plautianus,"" or ""Plautus' Farm,"" a proud acknowledgement of the land's heritage and historical esteem.  And a closer look at the estate's unique placement may reveal why: the property runs across a geological fault line, the resulting tectonic mashup of which exhumed an astonishing array of distinct soil types throughout the vineyards.  Today, brother and sister Rolando and Ilaria Bettarini take shrewd advantage of this diversity in terroir, vinifiying each plot separately, blending only the best expressions and selling off the remainder.  For decades this passionate, family-run operation has produced quality wines of typicity at a fraction of the price of its better-known neighbors within the bounds of Chianti Classico a few miles to the east.Farming Practice:Practicing Organic";Ventoso IGT Tuscan Red;;red;;;2019;;;;Fattoria Piazzano Ventoso IGT Tuscan Red  2019.jpg;750;9.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Tuscany;Tuscany;La Spinetta;La Spinetta;"""One of Italy's most fashionable winemakers/proprietors, Giorgio Rivetti displays a masterful touch whether he is making Barbera, Moscato d'Asti, or his proprietary red wine Pin."" – Robert Parker, Jr.""Giorgio Rivetti, owner and winemaker of La Spinetta in Barbaresco, has become one of the leading forces in Piedmont. He's making exciting ripe, fruit-forward Nebbiolos that would give many highly rated New World wines a run for their money. Now he's making waves in Barolo....Rivetti is first and foremost a winemaker--one of the best and most innovative winemakers in Piedmont today. But he is also in tune with today's consumer, whom he believes shares his preference for wines that are more approachable on release."" -- The Wine SpectatorGiorgio Rivetti's magic touch with Moscato, Barbera, Nebbiolo and, more recently, Sangiovese, Colorino, Vermentino and Sangiovese Rosé has taken the wine world by storm. He produces approachable yet age-worthy wines that command the attention of wine critics and consumers alike, year-in and year-out; their lushness, concentration, aromatics and length are unrivaled. Giorgio's speedy ascent from Moscato producer in the 1970's to venerated Barbaresco and Barolo vigneron today is studded with success.The genius of La Spinetta encompasses a vast array of great wines, all boasting an inimitably approachable and voluptuous style. From Moscato to Nebbiolo to Sangiovese, whatever Giorgio touches turns to gold. His pioneering single-vineyard Barberas and Barbera/Nebbiolo blend ""Pin"" are considered to be the best of the Langhe. His Barbareschi and Baroli are at the very top of their category. In fact La Spinetta's wines are among Italy's most celebrated, as the winery has attained the coveted Tre Bicchieri award for more than 30 of their wines throughout their relatively short career. Let it never be said, however, that the greatness of La Spinetta is inaccessible to the average consumer; from the longtime favorite Barbera d'Asti ""Ca' di Pian,"" featured in numerous magazines as a Best Value, to the Langhe Nebbiolo, a bottling of young vine fruit from the famed Starderi vineyard in Barbaresco, the winery offers incredible opportunities to experience the beauty of their best crus at a fraction of the cost.In addition to the wines of La Spinetta, Giorgio Rivetti and his son Andrea have recently taken ownership of the beautiful and historic Contratto estate, where they produce both sparkling wines and a line of spirits. Giuseppe Contratto founded Contratto in 1867, and the estate remained in the family's hands for 126 years. In 1993, Carlo Bocchino purchased the property, and the historical cellars underwent substantial renovations. In 2011, Giorgio Rivetti and the La Spinetta took ownership of this understated jewel with the goal of reviving Contratto to its former glory. Today, a UNESCO World Heritage site, Contratto produces traditional method sparkling wine and selected spirits that we are proud to represent.";Casanova della Spinetta Il Rose di Casanova;;pink;;;2020;;;;Casanova della Spinetta Il Rose di Casanova 2020.jpg;750;12.95;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
Italy;Tuscany;Tuscany;Poggio Scalette;Poggio Scalette;Poggio Scalette takes its name from the landscape, which is characterized by dry, stone walls supporting terraces on which the vineyards and olive groves are planted. From a distance the impression is of a series of stairs climbing the slopes of Greve. After the death of its previous owner, Poggio Scalette remained abandoned for years until Vittorio Fiore, one of Italy's most famed winemakers, discovered the property in 1991 with his wife, Adriana. In 1996, 42 additional acres of land became available, enabling them to expand. It was discovered that the plot of land known as Il Carbonaione was the first area to be replanted after World War I (1914-1918), which means these vines, more than 90 years old, are a rare example of the original clone of the famous Sangiovese di Lamole variety in the Chianti Classico area.;Il Carbonaione;;red;;;2017;;;;Poggio Scalette Il Carbonaione 2017.jpg;750;56.99;USD;exc;EmpireWine;USA;ecommerce;2021-04-15
